"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"ALT_Liver",-0.00159883792509507,0.0354358459662903,0.0156877974684759,0.0453226182173203,0.271723304154422,-0.0334575418686875,-0.0693400475491391,-0.0310072781277141,0.0226372842664335,-0.00386864144171625,-0.0346524355482179,-0.0963889377868609,-0.0572069993551645,0.0964718036774183,0.0565799704551446,0.0638894364686679,-0.126057868040257,0.0261663682411205,0.00781424588146087,0.0871582140495121
"AST_Liver",0.0346576200023996,0.0523451121717435,0.0419886123443568,0.0362044368413695,0.17564608746139,-0.0120377083557105,-0.0430913498089846,-0.0338572625697176,0.00764220114840753,-0.0152554141930543,-0.0334620338130557,-0.080200917912475,-0.0271299662557434,0.0727113211189859,0.0372290050913511,0.0208122011276831,-0.0768949687781229,-0.0109567348407432,0.010183929078549,0.0428164743475948
"BUN_kidney",0.0746274448991937,0.0597653851761187,0.0488665147557677,0.0173862047465583,0.0236623772583207,0.00161853812018261,0.00813273035829976,-0.0259259984241972,0.00186880376272041,0.0338718349233059,0.00529945958633728,-0.0173116675979759,0.0236473882770439,-0.0143827941657993,-0.0218376316803143,-0.005619669447346,0.0270436373675681,-0.03804913434371,-0.026953743487291,0.00108663077879813
"CRE_kidney",-0.00741029418500736,-0.00492663096050736,-0.0135878099222908,-0.0174142638517333,-0.0150306241038486,-0.0454044860319559,0.00280548903096787,-0.0509083225192134,0.0408885968086984,-0.00179128694286585,-0.0101489781239783,0.0181111271336169,0.00490215900218083,-0.0521603147593018,0.0358608682315505,0.0366560638575132,-0.017239853904915,-0.0227853399702398,0.00971725676748672,-0.00184570676868727
"UA.x_kidney",0.0448086261255294,0.0568998357749667,0.0499798307437376,0.0424825005010262,0.0486443640025229,-0.0150994915739969,-0.0135112934929083,-0.0117367415960303,0.0263517954599013,-0.00528732498846642,-0.0205604044580489,-0.069546047325382,-0.00923802211212586,0.0356655759099523,0.0216638377357191,0.00532027791162135,-0.1385298414393,0.0828701342754878,0.00281706223836998,0.0570817580162687
"TCHO_Lipids",-0.00329839064551069,-0.0169388808597819,0.0173310417700543,0.00227497270603566,0.0700735992292165,0.0963028110507061,0.0289856180843575,-0.00501344114087643,0.0621277045592017,0.00809189929241841,0.0071654212798637,-0.0330727073717082,-0.0256677633449668,-0.0334290015233022,-0.0687755780154375,-0.003720241065685,0.0507411384132817,0.0356641490893136,0.026800820386803,0.049060146480388
"TG_Lipids",0.00588253780954764,-0.0131058748074092,0.0258643204928299,0.0458030976603587,0.0321282588928357,0.0352621876553182,-0.0165748189709248,0.0315181050078836,0.0663403116631883,0.00577664446490789,0.0706399295730765,-0.0627697239186982,-0.00376623069536587,0.0247468861692172,-0.0241056400605173,-0.00725680366243443,-0.125227931004309,0.0854239602284826,-0.0307907120362915,0.0570639741233638
"HDLC_Lipids",-0.0262955605771867,-0.00729532939605834,-0.0167104694110978,-0.0806213263434508,-0.0302099277506741,0.020022056295303,-0.00440026772146215,-0.0157986481171274,-0.0305679189204391,-0.00877336459324269,-0.0294292277581167,0.00110721506135736,-0.0535316391915781,-0.0218629761115354,-0.0137831451831745,-0.0217361188736368,0.150372191395798,0.0171665137389801,0.0409363404640211,-0.0310551086573577
"LDLC_Lipids",-0.00639377415928217,0.0276215808498933,0.0546602880318585,0.019672536796929,0.0891421408038904,0.0912369301700437,0.0101837939626513,0.0112533094886013,0.0669340351042658,0.0161051004637698,0.0207249421236092,-0.0559385189075688,-0.0488042772447447,-0.0388592247341673,-0.0768010710675471,-0.0114688519565808,-0.054644728546105,0.0680206735686727,0.0240891173391076,0.0646683933453033
"TyG_InsulinResistence",0.000722104139617592,-0.0299021820802616,0.019558952458683,0.0499443951885844,0.0523731981254546,0.0499934936104591,-0.0104573025899622,0.0378884515633341,0.063798165120172,-0.00401191346150129,0.0665002267672364,-0.0660263638974301,-0.0183675594712486,0.0106749907068739,-0.0336427263870434,-0.00302623432217945,-0.131345958923867,0.0945235603941909,-0.0297304411130623,0.0603321713145953
