"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"edu_mo",0.545977531255537,0.0829841164715153,0.248090902705582,0.48774906289181,0.198366091836249,0.433800920266274,0.662609019918586,0.0490051124427211,0.431271094090941,0.422384695550028,0.88278892566093,0.806625094917861,0.539276533877306,0.276621911253027,0.686845950319016,0.882652208885274,0.000113338962363194,0.21985914909944,0.690835204414705,0.744113752087361
"family_income",0.23943140721819,0.939671079464876,0.546690094334729,0.647308990122413,0.116873229332874,0.621326800364495,0.403514960619588,0.604950964913556,0.34973425234443,0.38369494775703,0.161422596383566,0.255202518391518,0.743953648962068,0.322599173428098,0.787789596258096,0.691590226572671,0.0235862940017888,0.793196996384151,0.958132410568696,0.179764505702445
"smoking_mo",0.468578243806795,0.142822744933373,0.285636829913833,0.592866813415588,0.133187950142363,0.740472603889719,0.812027749679699,0.435756167309868,0.387408859744301,0.704913910262561,0.406983292844113,0.293728019137149,0.843917572951918,0.61753925382445,0.908904884021529,0.57014844025053,0.023168757951167,0.130823996121792,0.925915434059796,0.459567422090623
"drinking_mo_18topreg",0.594809321919699,0.442110847544922,0.370769630387122,0.371848811559354,0.0281869969626085,0.101914163711407,0.912472466277119,0.750192577959849,0.528016336714844,0.464100115823112,0.98492821867572,0.394621404879732,0.502426434131357,0.698149190948041,0.0177067540355711,0.230475299705613,0.279697412141101,0.967623314783788,0.860622034180035,0.820812856831965
"ethnicity_mo",0.0892022992082519,0.195505515736427,0.0547969547866067,0.199110075735008,0.918075787881721,0.626234040174736,0.585572178206474,0.559779094765694,0.387939489305881,0.162465653580041,0.369363915405705,0.0517170621856949,0.801960239710511,0.16594162104583,0.817527750123279,0.271752996271518,0.182264812281897,0.749580116533024,0.947530926665583,0.740320684684673
"s_time_1st",0.57459976812955,0.502208586924138,0.963225077976829,0.354598733600885,0.491130294574622,0.146569218877196,0.518367628742552,0.517868550815587,0.575886459823689,0.276381213143063,0.21536451362682,0.181129121799004,0.677963698487961,0.33098447989878,0.228892057495546,0.675442006181221,0.915741687136444,0.0710272569301357,0.13389001495694,0.685311201807234
"s_time_2nd",0.813921162507115,0.0124667306037385,0.0677012580683753,0.384863268894533,0.063245861941527,0.920460178714963,0.577137265639554,0.0209164341533791,0.100999487441715,0.0852398413787642,0.0705608784421236,0.805222489810157,0.0620022915252829,0.720912307196972,0.804778017049184,0.4784577553373,0.164009126830972,0.876190819746777,0.307664229828256,0.756803333140467
"s_time_3rd",0.0102474359138016,0.347524881571606,0.300999502767049,0.00029515930878874,0.0532904529071319,0.0100282859103234,0.23750279940674,0.219977849727981,0.306501930018994,0.000315105078633165,0.0184499033199111,4.10350633471665e-07,0.352112711015555,0.16248505425111,0.000269279141021901,0.0039329804515692,0.808976805409647,0.318795480620275,0.0463314243086144,0.578934336083768
"FPG_1st_trimester",0.312161952756776,0.0372954354942919,0.127431922431184,0.47512772595809,0.00907634075132362,0.291836855138189,0.185086287856162,0.137825463490943,0.18598429889564,0.787425308854173,0.905742244431327,0.178514218120843,0.221923132606736,0.284446255049444,0.40324873122972,0.409121908137219,0.0211313235116345,0.00149639327923791,0.79156643755383,0.10243264535274
"FT4",0.551441946132697,0.335733569135589,0.112671002340851,0.512618683524851,0.741537289177513,0.649491124818728,0.769704720040043,0.561322004962419,0.682040064676262,0.718343709520966,0.263542869359099,0.309834832022593,0.349810649972853,0.579465423818523,0.450050000266746,0.58167541377043,0.411508691824376,0.974983956797705,0.963456014269731,0.837897475911058
